iter	MAE
0	618.1688295
1	618.1663351
2	618.1638416
3	618.1613441
4	618.1588498
5	618.1563565
6	618.1538602
7	618.1513665
8	618.1488705
9	618.146379
10	618.1438868
11	618.1413909
12	618.1388992
13	618.136406
14	618.1339082
15	618.1314145
16	618.1289189
17	618.1264224
18	618.1239279
19	618.1214336
20	618.1189397
21	618.1164428
22	618.1139475
23	618.1114511
24	618.1089584
25	618.1064628
26	618.1039713
27	618.1014773
28	618.0989813
29	618.096489
30	618.0939976
31	618.0915049
32	618.0890059
33	618.0865102
34	618.0840154
35	618.0815234
36	618.0790289
37	618.0765345
38	618.0740406
39	618.0715458
40	618.06905
41	618.0665578
42	618.0640595
43	618.0615652
44	618.0590718
45	618.0565784
46	618.0540874
47	618.0515912
48	618.0490989
49	618.0466052
50	618.0441084
51	618.0416135
52	618.0391194
53	618.0366281
54	618.0341333
55	618.03164
56	618.0291486
57	618.0266563
58	618.0241652
59	618.0216707
60	618.0191775
61	618.0166865
62	618.0141924
63	618.0116981
64	618.0092089
65	618.0067137
66	618.004217
67	618.0017202
68	617.9992234
69	617.996727
70	617.994234
71	617.9917398
72	617.9892493
73	617.9867534
74	617.9842538
75	617.9817591
76	617.9792606
77	617.9767652
78	617.9742707
79	617.9717757
80	617.9692795
81	617.9667865
82	617.9642936
83	617.961799
84	617.9593028
85	617.9568062
86	617.9543091
87	617.951815
88	617.9493186
89	617.9468219
90	617.9443247
91	617.9418324
92	617.9393398
93	617.9368451
94	617.9343533
95	617.931858
96	617.9293626
97	617.9268703
98	617.9243766
99	617.9218799
100	617.9193861
101	617.9168889
102	617.9143952
103	617.9118999
104	617.909407
105	617.9069133
106	617.9044168
107	617.9019179
108	617.8994246
109	617.8969321
110	617.8944373
111	617.8919447
112	617.8894514
113	617.88696
114	617.8844616
115	617.8819663
116	617.8794703
117	617.8769762
118	617.8744819
119	617.8719866
120	617.8694914
121	617.8670001
122	617.8645101
123	617.8620141
124	617.8595171
125	617.8570245
126	617.8545274
127	617.8520337
128	617.8495379
129	617.8470423
130	617.8445504
131	617.8420515
132	617.8395556
133	617.8370606
134	617.8345667
135	617.8320698
136	617.8295737
137	617.8270781
138	617.824585
139	617.8220927
140	617.8196013
141	617.817111
142	617.8146191
143	617.8121261
144	617.8096269
145	617.807138
146	617.8046433
147	617.8021502
148	617.799654
149	617.7971555
150	617.7946619
151	617.792168
152	617.7896757
153	617.7871791
154	617.7846837
155	617.782188
156	617.7796933
157	617.7771986
158	617.7747027
159	617.7722058
160	617.7697158
161	617.76722
162	617.7647285
163	617.7622297
164	617.7597382
165	617.7572465
166	617.7547486
167	617.7522529
168	617.7497624
169	617.7472665
170	617.7447722
171	617.742275
172	617.7397765
173	617.7372819
174	617.7347873
175	617.7322951
176	617.7298003
177	617.7273053
178	617.7248108
179	617.7223161
180	617.7198217
181	617.7173324
182	617.7148331
183	617.712339
184	617.7098429
185	617.707348
186	617.7048528
187	617.7023595
188	617.6998674
189	617.6973724
190	617.6948739
191	617.6923804
192	617.6898869
193	617.6873969
194	617.6849031
195	617.6824056
196	617.6799098
197	617.6774108
198	617.674914
199	617.6724215
200	617.6699295
201	617.6674355
202	617.6649436
203	617.6624515
204	617.6599601
205	617.6574631
206	617.6549709
207	617.6524765
208	617.6499854
209	617.6474928
210	617.6449964
211	617.6425025
212	617.6400097
213	617.6375135
214	617.6350198
215	617.6325287
216	617.6300317
217	617.6275363
218	617.6250459
219	617.6225518
220	617.6200562
221	617.6175615
222	617.615067
223	617.6125711
224	617.6100734
225	617.6075762
226	617.6050812
227	617.6025889
228	617.6000932
229	617.597601
230	617.595108
231	617.5926135
232	617.5901152
233	617.5876156
234	617.5851211
235	617.5826275
236	617.5801353
237	617.5776426
238	617.5751469
239	617.5726532
240	617.570158
241	617.5676628
242	617.5651708
243	617.5626768
244	617.5601772
245	617.5576848
246	617.555191
247	617.5526942
248	617.5501982
249	617.5477033
250	617.5452074
251	617.5427132
252	617.5402186
253	617.5377263
254	617.5352306
255	617.5327361
256	617.5302385
257	617.527742
258	617.5252438
259	617.5227502
260	617.5202521
261	617.5177577
262	617.5152652
263	617.5127714
264	617.5102793
265	617.5077807
266	617.5052887
267	617.5027979
268	617.5003028
269	617.4978075
270	617.4953089
271	617.4928175
272	617.4903215
273	617.4878323
274	617.4853433
275	617.4828468
276	617.4803483
277	617.4778516
278	617.4753554
279	617.4728614
280	617.4703663
281	617.4678709
282	617.4653766
283	617.4628818
284	617.4603846
285	617.4578905
286	617.4553974
287	617.4529035
288	617.4504121
289	617.4479189
290	617.4454239
291	617.4429288
292	617.4404307
293	617.4379402
294	617.4354432
295	617.4329477
296	617.4304541
297	617.4279549
298	617.4254604
299	617.4229682
300	617.4204796
301	617.4179831
302	617.4154877
303	617.4129887
304	617.4104925
305	617.4079996
306	617.405507
307	617.4030074
308	617.4005113
309	617.3980149
310	617.3955202
311	617.3930251
312	617.3905357
313	617.3880385
314	617.3855409
315	617.3830467
316	617.3805482
317	617.3780565
318	617.3755643
319	617.3730693
320	617.3705745
321	617.3680816
322	617.3655863
323	617.363092
324	617.3605995
325	617.3581057
326	617.3556079
327	617.353112
328	617.3506174
329	617.3481235
330	617.3456302
331	617.3431358
332	617.3406436
333	617.3381456
334	617.3356489
335	617.3331554
336	617.33066
337	617.328166
338	617.3256709
339	617.3231781
340	617.3206883
341	617.3181941
342	617.3156995
343	617.3132023
344	617.3107045
345	617.3082094
346	617.3057181
347	617.3032196
348	617.3007288
349	617.2982359
350	617.2957414
351	617.2932473
352	617.290755
353	617.2882647
354	617.2857658
355	617.2832706
356	617.2807777
357	617.2782841
358	617.2757889
359	617.2732951
360	617.2708053
361	617.2683132
362	617.2658182
363	617.2633248
364	617.2608295
365	617.2583334
366	617.2558426
367	617.2533495
368	617.2508599
369	617.2483645
370	617.2458721
371	617.243378
372	617.2408842
373	617.2383893
374	617.2358941
375	617.2333963
376	617.2309002
377	617.2284087
378	617.2259116
379	617.2234171
380	617.2209224
381	617.2184268
382	617.2159307
383	617.2134356
384	617.210943
385	617.2084476
386	617.205951
387	617.2034553
388	617.20096
389	617.1984647
390	617.1959695
391	617.1934755
392	617.1909818
393	617.1884889
394	617.1859935
395	617.1835001
396	617.1810072
397	617.1785155
398	617.1760218
399	617.173524
400	617.1710254
401	617.1685311
402	617.1660341
403	617.1635395
404	617.1610432
405	617.1585516
406	617.1560591
407	617.1535638
408	617.1510694
409	617.1485785
410	617.1460837
411	617.1435885
412	617.1410975
413	617.1386051
414	617.1361073
415	617.1336086
416	617.131114
417	617.1286175
418	617.1261282
419	617.1236314
420	617.1211381
421	617.1186427
422	617.116149
423	617.1136497
424	617.1111556
425	617.1086586
426	617.106165
427	617.1036695
428	617.1011762
429	617.0986794
430	617.0961828
431	617.0936882
432	617.0911936
433	617.0887011
434	617.0862071
435	617.083716
436	617.0812212
437	617.0787251
438	617.0762346
439	617.0737384
440	617.0712427
441	617.0687482
442	617.0662541
443	617.0637628
444	617.0612716
445	617.0587723
446	617.0562779
447	617.0537833
448	617.0512888
449	617.0487944
450	617.046302
451	617.0438028
452	617.0413035
453	617.0388057
454	617.0363128
455	617.0338182
456	617.0313241
457	617.0288314
458	617.0263346
459	617.0238423
460	617.0213524
461	617.0188535
462	617.0163568
463	617.0138617
464	617.0113665
465	617.0088722
466	617.0063759
467	617.0038824
468	617.0013886
469	616.9988928
470	616.9963994
471	616.993907
472	616.9914139
473	616.988915
474	616.9864188
475	616.9839264
476	616.9814349
477	616.9789373
478	616.9764412
479	616.9739465
480	616.9714526
481	616.9689615
482	616.9664648
483	616.9639671
484	616.9614739
485	616.9589778
486	616.9564829
487	616.9539891
488	616.9514946
489	616.9490012
490	616.9465039
491	616.9440131
492	616.9415146
493	616.9390167
494	616.9365221
495	616.9340259
496	616.9315325
497	616.9290403
498	616.9265418
499	616.9240489
500	616.9215544
501	616.9190581
502	616.9165651
503	616.9140674
504	616.9115713
505	616.909079
506	616.9065861
507	616.9040926
508	616.9015972
509	616.899103
510	616.8966107
511	616.8941213
512	616.8916259
513	616.8891342
514	616.8866375
515	616.8841479
516	616.8816492
517	616.8791526
518	616.8766544
519	616.8741603
520	616.8716667
521	616.8691694
522	616.8666728
523	616.8641732
524	616.8616776
525	616.8591833
526	616.856688
527	616.854195
528	616.8517004
529	616.8492046
530	616.8467093
531	616.844215
532	616.8417202
533	616.8392209
534	616.8367279
535	616.8342328
536	616.8317369
537	616.8292428
538	616.8267491
539	616.8242576
540	616.821762
541	616.8192685
542	616.8167718
543	616.8142759
544	616.8117788
545	616.8092801
546	616.8067889
547	616.8042942
548	616.8017971
549	616.7992996
550	616.7968061
551	616.794312
552	616.7918177
553	616.7893223
554	616.786826
555	616.7843308
556	616.7818402
557	616.7793469
558	616.7768513
559	616.7743579
560	616.7718645
561	616.76937
562	616.7668747
563	616.7643794
564	616.7618852
565	616.759389
566	616.756891
567	616.754396
568	616.751905
569	616.7494113
570	616.7469199
571	616.7444218
572	616.7419262
573	616.7394316
574	616.736936
575	616.734438
576	616.7319424
577	616.7294447
578	616.7269477
579	616.7244514
580	616.721957
581	616.7194644
582	616.7169696
583	616.7144784
584	616.7119832
585	616.7094889
586	616.7069936
587	616.7044984
588	616.7020061
589	616.699507
590	616.6970085
591	616.6945169
592	616.692022
593	616.6895272
594	616.6870275
595	616.6845297
596	616.682035
597	616.6795454
598	616.6770526
599	616.6745643
600	616.67207
601	616.6695765
602	616.6670795
603	616.6645844
604	616.6620897
605	616.6595999
606	616.6571036
607	616.6546064
608	616.6521089
609	616.6496132
610	616.6471174
611	616.6446188
612	616.642123
613	616.6396284
614	616.6371389
615	616.6346422
616	616.6321448
617	616.6296485
618	616.6271547
619	616.6246577
620	616.6221648
621	616.6196682
622	616.6171732
623	616.6146774
624	616.6121826
625	616.6096905
626	616.6071949
627	616.6047006
628	616.602207
629	616.5997104
630	616.5972148
631	616.5947202
632	616.5922293
633	616.5897346
634	616.5872358
635	616.5847388
636	616.582243
637	616.5797475
638	616.5772551
639	616.5747571
640	616.5722657
641	616.5697711
642	616.5672767
643	616.5647829
644	616.5622876
645	616.559797
646	616.5573025
647	616.5548077
648	616.5523157
649	616.5498172
650	616.5473191
651	616.5448248
652	616.5423343
653	616.5398407
654	616.5373488
655	616.5348568
656	616.5323641
657	616.5298685
658	616.527374
659	616.5248798
660	616.5223857
661	616.51989
662	616.5173938
663	616.5148973
664	616.5124055
665	616.5099115
666	616.5074167
667	616.5049268
668	616.5024317
669	616.4999369
670	616.4974436
671	616.4949482
672	616.4924518
673	616.4899559
674	616.4874596
675	616.4849709
676	616.4824767
677	616.4799828
678	616.4774877
679	616.4749946
680	616.4725004
681	616.4700011
682	616.4675076
683	616.465012
684	616.4625167
685	616.4600244
686	616.4575291
687	616.4550349
688	616.4525407
689	616.4500411
690	616.4475471
691	616.4450539
692	616.4425608
693	616.4400651
694	616.4375686
695	616.4350758
696	616.4325831
697	616.43009
698	616.4275915
699	616.4250999
700	616.4226069
701	616.4201161
702	616.4176193
703	616.4151245
704	616.4126251
705	616.4101287
706	616.4076352
707	616.4051404
708	616.4026452
709	616.4001528
710	616.3976618
711	616.395167
712	616.3926722
713	616.3901762
714	616.3876785
715	616.3851872
716	616.3826925
717	616.3801971
718	616.3777013
719	616.3752072
720	616.3727142
721	616.3702204
722	616.3677265
723	616.3652273
724	616.3627354
725	616.3602367
726	616.3577474
727	616.355252
728	616.3527535
729	616.3502635
730	616.3477735
731	616.3452835
732	616.34279
733	616.3402953
734	616.3378031
735	616.3353113
736	616.3328176
737	616.3303208
738	616.3278256
739	616.3253263
740	616.3228294
741	616.3203344
742	616.3178387
743	616.3153451
744	616.3128493
745	616.3103555
746	616.3078596
747	616.3053634
748	616.3028684
749	616.3003731
750	616.2978767
751	616.2953842
752	616.292888
753	616.2903935
754	616.2878982
755	616.2854054
756	616.2829142
757	616.2804222
758	616.277927
759	616.2754372
760	616.2729483
761	616.2704524
762	616.2679622
763	616.2654658
764	616.2629699
765	616.2604782
766	616.2579848
767	616.2554889
768	616.2529951
769	616.2504997
770	616.2480083
771	616.2455143
772	616.2430216
773	616.24053
774	616.2380352
775	616.2355433
776	616.2330482
777	616.2305543
778	616.2280595
779	616.2255666
780	616.2230732
781	616.2205811
782	616.2180853
783	616.2155905
784	616.2130948
785	616.2106041
786	616.2081099
787	616.2056157
788	616.2031271
789	616.2006329
790	616.1981364
791	616.1956441
792	616.1931502
793	616.1906515
794	616.188155
795	616.1856602
796	616.1831641
797	616.1806685
798	616.1781764
799	616.1756814
800	616.1731879
801	616.1706938
802	616.1682
803	616.1657044
804	616.1632114
805	616.1607149
806	616.1582216
807	616.1557273
808	616.1532326
809	616.1507375
810	616.1482434
811	616.1457497
812	616.1432579
813	616.1407644
814	616.1382703
815	616.135778
816	616.1332856
817	616.1307884
818	616.1282954
819	616.1258003
820	616.1233085
821	616.120817
822	616.1183203
823	616.1158235
824	616.1133333
825	616.1108336
826	616.1083372
827	616.1058418
828	616.1033447
829	616.1008501
830	616.0983571
831	616.0958613
832	616.0933678
833	616.0908736
834	616.0883787
835	616.0858833
836	616.083388
837	616.0808979
838	616.0784021
839	616.0759041
840	616.0734087
841	616.0709122
842	616.0684165
843	616.0659236
844	616.0634269
845	616.0609353
846	616.058442
847	616.0559476
848	616.0534549
849	616.0509599
850	616.0484648
851	616.0459691
852	616.0434723
853	616.0409768
854	616.0384779
855	616.0359833
856	616.0334868
857	616.0309891
858	616.0284966
859	616.0260003
860	616.0235055
861	616.0210106
862	616.018518
863	616.0160224
864	616.0135293
865	616.0110347
866	616.0085388
867	616.0060433
868	616.0035516
869	616.0010573
870	615.9985639
871	615.9960708
872	615.9935788
873	615.9910887
874	615.9885931
875	615.9860982
876	615.9836039
877	615.9811093
878	615.9786133
879	615.976119
880	615.9736236
881	615.9711258
882	615.9686316
883	615.9661403
884	615.963646
885	615.9611543
886	615.958662
887	615.9561684
888	615.9536731
889	615.9511782
890	615.9486857
891	615.9461868
892	615.9436905
893	615.9411946
894	615.938699
895	615.936205
896	615.9337127
897	615.9312142
898	615.9287251
899	615.9262312
900	615.9237357
901	615.9212423
902	615.9187454
903	615.9162461
904	615.9137511
905	615.9112585
906	615.9087645
907	615.9062694
908	615.9037742
909	615.9012808
910	615.8987856
911	615.8962887
912	615.8937936
913	615.8913018
914	615.8888064
915	615.8863092
916	615.8838104
917	615.8813129
918	615.8788191
919	615.8763287
920	615.8738364
921	615.8713463
922	615.8688535
923	615.866359
924	615.8638629
925	615.8613662
926	615.858871
927	615.8563767
928	615.8538821
929	615.8513876
930	615.8488952
931	615.8463974
932	615.8439023
933	615.8414104
934	615.8389171
935	615.8364281
936	615.833933
937	615.8314419
938	615.8289462
939	615.826449
940	615.8239548
941	615.8214622
942	615.8189676
943	615.8164705
944	615.8139763
945	615.811477
946	615.8089774
947	615.8064835
948	615.8039933
949	615.8014979
950	615.799004
951	615.7965119
952	615.7940164
953	615.791521
954	615.7890303
955	615.7865372
956	615.7840424
957	615.78155
958	615.7790576
959	615.776562
960	615.774068
961	615.771574
962	615.7690769
963	615.7665815
964	615.7640873
965	615.7615931
966	615.759098
967	615.7566053
968	615.7541125
969	615.7516179
970	615.749127
971	615.7466331
972	615.7441377
973	615.7416458
974	615.7391512
975	615.7366592
976	615.7341622
977	615.7316696
978	615.7291745
979	615.7266791
980	615.7241856
981	615.7216909
982	615.7191937
983	615.7166977
984	615.7142051
985	615.7117096
986	615.709215
987	615.7067192
988	615.704227
989	615.7017319
990	615.6992375
991	615.6967414
992	615.6942466
993	615.691754
994	615.6892575
995	615.6867629
996	615.6842708
997	615.6817755
998	615.6792808
999	615.6767818
1000	615.6742881
1001	615.6717953
1002	615.6692999
1003	615.6668044
1004	615.6643136
1005	615.6618183
1006	615.6593204
1007	615.6568256
1008	615.6543296
1009	615.6518364
1010	615.6493401
1011	615.6468453
1012	615.6443498
1013	615.6418552
1014	615.6393584
1015	615.6368641
1016	615.6343653
1017	615.6318731
1018	615.6293809
1019	615.6268843
1020	615.6243894
1021	615.6218951
1022	615.6194001
1023	615.6169055
1024	615.6144091
1025	615.6119131
1026	615.6094235
1027	615.6069291
1028	615.6044368
1029	615.6019406
1030	615.5994472
1031	615.5969523
1032	615.5944564
1033	615.5919623
1034	615.5894682
1035	615.5869734
1036	615.584479
1037	615.5819892
1038	615.5794935
1039	615.5770008
1040	615.5745077
1041	615.572015
1042	615.5695193
1043	615.5670254
1044	615.5645292
1045	615.5620322
1046	615.5595352
1047	615.5570419
1048	615.554546
1049	615.5520503
1050	615.5495547
1051	615.5470591
1052	615.5445651
1053	615.5420723
1054	615.5395797
1055	615.5370812
1056	615.5345833
1057	615.5320892
1058	615.5295966
1059	615.5271046
1060	615.5246088
1061	615.5221118
1062	615.5196183
1063	615.5171241
1064	615.5146303
1065	615.5121376
1066	615.509639
1067	615.5071483
1068	615.5046545
1069	615.502159
1070	615.4996665
1071	615.4971725
1072	615.4946781
1073	615.4921839
1074	615.4896877
1075	615.4871932
1076	615.4847023
1077	615.482206
1078	615.4797068
1079	615.4772104
1080	615.4747173
1081	615.4722223
1082	615.4697266
1083	615.4672363
1084	615.4647453
1085	615.4622474
1086	615.4597521
1087	615.4572552
1088	615.454761
1089	615.4522683
1090	615.4497735
1091	615.4472766
1092	615.4447861
1093	615.442293
1094	615.4397952
1095	615.4373022
1096	615.4348074
1097	615.4323107
1098	615.4298161
1099	615.4273206
1100	615.424827
1101	615.4223329
1102	615.419838
1103	615.4173452
1104	615.4148499
1105	615.4123558
1106	615.4098595
1107	615.4073643
1108	615.4048657
1109	615.4023711
1110	615.3998714
1111	615.3973794
1112	615.3948862
1113	615.3923908
1114	615.3898947
1115	615.3874003
1116	615.3849018
1117	615.3824044
1118	615.3799114
1119	615.3774156
1120	615.3749195
1121	615.3724208
1122	615.3699254
1123	615.36743
1124	615.3649372
1125	615.3624407
1126	615.3599422
1127	615.3574508
1128	615.3549535
1129	615.3524607
1130	615.349968
1131	615.3474724
1132	615.3449813
1133	615.3424916
1134	615.3399997
1135	615.3375065
1136	615.3350096
1137	615.3325111
1138	615.3300148
1139	615.3275204
1140	615.3250281
1141	615.3225303
1142	615.3200366
1143	615.3175431
1144	615.3150485
1145	615.3125561
1146	615.3100629
1147	615.3075695
1148	615.3050761
1149	615.3025807
1150	615.3000856
1151	615.2975868
1152	615.2950918
1153	615.2925982
1154	615.2901031
1155	615.2876097
1156	615.2851175
1157	615.2826292
1158	615.2801307
1159	615.2776373
1160	615.2751416
1161	615.2726455
1162	615.2701531
1163	615.267657
1164	615.2651577
1165	615.2626643
1166	615.2601704
1167	615.2576787
1168	615.2551866
1169	615.2526916
1170	615.2501978
1171	615.2477034
1172	615.245214
1173	615.2427171
1174	615.2402252
1175	615.2377307
1176	615.2352322
1177	615.2327395
1178	615.2302464
1179	615.2277523
1180	615.2252552
1181	615.2227606
1182	615.2202699
1183	615.217774
1184	615.2152795
1185	615.2127844
1186	615.2102902
1187	615.2077961
1188	615.2052964
1189	615.2028
1190	615.2003077
1191	615.1978157
1192	615.195322
1193	615.1928235
1194	615.1903273
1195	615.1878365
1196	615.1853425
1197	615.182849
1198	615.1803551
1199	615.1778634
1200	615.1753701
1201	615.1728751
1202	615.1703809
1203	615.1678858
1204	615.1653887
1205	615.1628938
1206	615.1603968
1207	615.1579016
1208	615.1554076
1209	615.1529119
1210	615.1504193
1211	615.1479254
1212	615.1454303
1213	615.1429372
1214	615.1404395
1215	615.137946
1216	615.1354507
1217	615.132959
1218	615.1304628
1219	615.1279677
1220	615.1254716
1221	615.1229775
1222	615.1204856
1223	615.117991
1224	615.1154953
1225	615.1129994
1226	615.1105057
1227	615.1080104
1228	615.1055157
1229	615.1030221
1230	615.1005225
1231	615.0980268
1232	615.0955332
1233	615.0930375
1234	615.0905457
1235	615.088052
1236	615.0855576
1237	615.0830633
1238	615.0805741
1239	615.0780804
1240	615.0755869
1241	615.0730914
1242	615.0706023
1243	615.0681065
1244	615.0656069
1245	615.0631117
1246	615.0606211
1247	615.0581247
1248	615.0556308
1249	615.0531365
1250	615.0506422
1251	615.0481453
1252	615.0456506
1253	615.0431569
1254	615.0406648
1255	615.0381692
1256	615.0356713
1257	615.0331775
1258	615.0306779
1259	615.0281862
1260	615.0256978
1261	615.0232014
1262	615.0207077
1263	615.0182081
1264	615.0157154
1265	615.0132196
1266	615.0107266
1267	615.0082317
1268	615.0057369
1269	615.0032376
1270	615.000744
1271	614.9982552
1272	614.995762
1273	614.9932694
1274	614.9907745
1275	614.9882794
1276	614.9857837
1277	614.9832893
1278	614.9807954
1279	614.9783017
1280	614.9758068
1281	614.9733108
1282	614.9708152
1283	614.9683212
1284	614.9658268
1285	614.9633307
1286	614.9608369
1287	614.9583444
1288	614.9558487
1289	614.9533514
1290	614.9508566
1291	614.9483654
1292	614.9458768
1293	614.9433824
1294	614.9408873
1295	614.9383905
1296	614.9358998
1297	614.9334059
1298	614.9309097
1299	614.9284104
1300	614.9259159
1301	614.9234245
1302	614.9209289
1303	614.9184373
1304	614.9159449
1305	614.9134475
1306	614.9109514
1307	614.9084602
1308	614.9059659
1309	614.903472
1310	614.9009724
1311	614.8984776
1312	614.895978
1313	614.8934825
1314	614.8909859
1315	614.888493
1316	614.8859984
1317	614.8835042
1318	614.8810112
1319	614.8785154
1320	614.8760231
1321	614.87353
1322	614.871036
1323	614.8685414
1324	614.8660429
1325	614.8635485
1326	614.8610554
1327	614.8585601
1328	614.8560639
1329	614.8535642
1330	614.8510691
1331	614.8485738
1332	614.8460769
1333	614.8435828
1334	614.8410894
1335	614.8385898
1336	614.8360956
1337	614.8336014
1338	614.8311075
1339	614.828614
1340	614.8261182
1341	614.8236233
1342	614.8211275
1343	614.8186343
1344	614.8161388
1345	614.8136438
1346	614.811146
1347	614.8086504
1348	614.8061539
1349	614.8036625
1350	614.8011673
1351	614.7986786
1352	614.7961888
1353	614.7936965
1354	614.7911997
1355	614.7887051
1356	614.7862106
1357	614.783711
1358	614.7812152
1359	614.778722
1360	614.7762234
1361	614.7737295
1362	614.771234
1363	614.7687362
1364	614.7662422
1365	614.7637497
1366	614.7612558
1367	614.7587644
1368	614.7562718
1369	614.753778
1370	614.7512784
1371	614.7487857
1372	614.7462906
1373	614.7437934
1374	614.7412963
1375	614.7387978
1376	614.7363092
1377	614.73381
1378	614.7313135
1379	614.7288197
1380	614.7263267
1381	614.7238351
1382	614.7213416
1383	614.7188455
1384	614.716356
1385	614.7138644
1386	614.7113716
1387	614.7088751
1388	614.7063766
1389	614.7038812
1390	614.7013876
1391	614.698896
1392	614.6964041
1393	614.693909
1394	614.6914166
1395	614.688924
1396	614.6864299
1397	614.683936
1398	614.6814421
1399	614.6789475
1400	614.6764517
1401	614.6739589
1402	614.6714654
1403	614.6689709
1404	614.6664788
1405	614.663986
1406	614.6614923
1407	614.6590005
1408	614.6565069
1409	614.6540168
1410	614.6515282
1411	614.649029
1412	614.6465369
1413	614.6440429
1414	614.6415505
1415	614.639055
1416	614.6365605
1417	614.6340653
1418	614.6315721
1419	614.6290778
1420	614.6265853
1421	614.6240913
1422	614.6215974
1423	614.6191083
1424	614.6166098
1425	614.6141161
1426	614.6116219
1427	614.6091272
1428	614.6066309
1429	614.6041352
1430	614.6016399
1431	614.5991415
1432	614.5966455
1433	614.5941502
1434	614.5916557
1435	614.5891592
1436	614.5866648
1437	614.5841702
1438	614.5816804
1439	614.5791868
1440	614.5766921
1441	614.5741932
1442	614.571697
1443	614.5692014
1444	614.5667073
1445	614.5642119
1446	614.5617196
1447	614.55923
1448	614.5567389
1449	614.5542396
1450	614.5517438
1451	614.5492502
1452	614.5467517
1453	614.544256
1454	614.5417615
1455	614.5392686
1456	614.5367751
1457	614.5342783
1458	614.5317865
1459	614.5292929
1460	614.5267966
1461	614.5243
1462	614.5218036
1463	614.5193117
1464	614.5168188
1465	614.514323
1466	614.5118279
1467	614.5093326
1468	614.5068396
1469	614.504347
1470	614.5018522
1471	614.4993602
1472	614.4968666
1473	614.4943723
1474	614.4918777
1475	614.4893819
1476	614.4868876
1477	614.4843947
1478	614.4818986
1479	614.4794014
1480	614.4769115
1481	614.4744171
1482	614.4719226
1483	614.469426
1484	614.4669304
1485	614.4644358
1486	614.461939
1487	614.4594421
1488	614.4569466
1489	614.4544532
