iter	Passed	Remaining
0	61	619849
1	115	578512
2	173	577962
3	231	578930
4	305	611196
5	363	605116
6	421	601521
7	490	613162
8	574	637321
9	640	640348
10	696	632752
11	746	621128
12	795	611197
13	847	604307
14	895	596376
15	946	590472
16	994	584051
17	1043	578527
18	1093	574427
19	1143	570439
20	1193	566991
21	1241	563027
22	1292	560536
23	1340	557158
24	1390	554783
25	1472	564981
26	1642	606760
27	1767	629362
28	1816	624443
29	1865	620120
30	1915	615849
31	1964	611842
32	1997	603251
33	2047	600073
34	2098	597485
35	2148	594715
36	2198	591956
37	2246	589019
38	2295	586179
39	2345	583923
40	2394	581604
41	2444	579671
42	2489	576563
43	2550	577020
44	2604	576066
45	2653	574210
46	2703	572547
47	2752	570661
48	2801	569008
49	2852	567724
50	2901	566070
51	2949	564350
52	2997	562585
53	3048	561479
54	3095	559801
55	3152	559739
56	3209	559850
57	3266	559921
58	3327	560720
59	3391	561818
60	3442	560916
61	3492	559817
62	3543	558842
63	3592	557710
64	3644	556981
65	3692	555742
66	3742	554908
67	3790	553566
68	3836	552237
69	3884	551081
70	3934	550177
71	3984	549417
72	4033	548510
73	4082	547560
74	4099	542501
75	4150	541909
76	4176	538271
77	4226	537618
78	4274	536802
79	4324	536200
80	4371	535354
81	4421	534784
82	4487	536136
83	4546	536663
84	4596	536149
85	4643	535318
86	4696	535083
87	4745	534568
88	4794	533936
89	4841	533099
90	4888	532275
91	4938	531809
92	4987	531335
93	5036	530766
94	5090	530713
95	5141	530419
96	5189	529769
97	5238	529339
98	5288	528905
99	5336	528315
100	5387	528019
101	5421	526072
102	5472	525840
103	5519	525238
104	5567	524693
105	5622	524807
106	5676	524796
107	5706	522646
108	5763	522991
109	5816	522951
110	5873	523278
111	5921	522791
112	5971	522489
113	6021	522176
114	6054	520406
115	6102	519975
116	6151	519578
117	6200	519302
118	6250	518976
119	6299	518693
120	6348	518331
121	6399	518171
122	6454	518290
123	6512	518725
124	6567	518868
125	6620	518823
126	6669	518476
127	6719	518222
128	6769	518023
129	6817	517642
130	6867	517404
131	6893	515356
132	6944	515186
133	6994	514956
134	7044	514791
135	7093	514469
136	7142	514197
137	7194	514136
138	7244	513910
139	7292	513629
140	7343	513464
141	7394	513330
142	7445	513209
143	7493	512919
144	7514	510758
145	7566	510655
146	7614	510384
147	7663	510148
148	7712	509886
149	7739	508207
150	7790	508118
151	7839	507906
152	7888	507677
153	7937	507471
154	7989	507466
155	8044	507621
156	8099	507786
157	8155	508003
158	8209	508091
159	8262	508130
160	8310	507897
161	8359	507640
162	8408	507474
163	8437	506049
164	8492	506229
165	8550	506530
166	8587	505662
167	8636	505468
168	8685	505243
169	8735	505128
170	8788	505159
171	8836	504894
172	8862	503425
173	8911	503260
174	8964	503295
175	9012	503075
176	9061	502875
177	9116	503043
178	9167	502997
179	9217	502846
180	9268	502778
181	9319	502760
182	9340	501093
183	9388	500874
184	9439	500805
185	9488	500649
186	9537	500503
187	9585	500277
188	9636	500247
189	9685	500086
190	9712	498806
191	9761	498652
192	9811	498534
193	9863	498543
194	9913	498461
195	9948	497635
196	9996	497453
197	10022	496179
198	10072	496061
199	10121	495972
200	10175	496074
201	10232	496313
202	10281	496206
203	10331	496121
204	10382	496091
205	10441	496443
206	10515	497480
207	10575	497843
208	10642	498572
209	10692	498495
210	10740	498296
211	10789	498164
212	10841	498140
213	10892	498097
214	10941	497968
215	10992	497908
216	11038	497645
217	11088	497555
218	11139	497507
219	11190	497461
220	11239	497336
221	11286	497120
222	11337	497060
223	11384	496868
224	11420	496169
225	11456	495455
226	11505	495350
227	11555	495251
228	11605	495179
229	11655	495121
230	11705	495032
231	11774	495726
232	11883	498121
233	11950	498749
234	12089	502375
235	12140	502305
236	12189	502155
237	12239	502011
238	12286	501772
239	12334	501614
240	12383	501449
241	12435	501444
242	12505	502144
243	12558	502126
244	12577	500779
245	12627	500670
246	12676	500545
247	12727	500486
248	12776	500325
249	12824	500151
250	12871	499950
251	12922	499857
252	12971	499717
253	13023	499704
254	13072	499593
255	13126	499641
256	13163	499023
257	13216	499040
258	13254	498501
259	13312	498695
260	13379	499244
261	13427	499086
262	13477	498981
263	13526	498859
264	13576	498727
265	13602	497757
266	13651	497634
267	13700	497505
268	13749	497380
269	13799	497276
270	13825	496354
271	13875	496250
272	13926	496201
273	13977	496154
274	14027	496074
275	14076	495956
276	14105	495119
277	14154	494991
278	14207	495032
279	14256	494909
280	14307	494852
281	14357	494759
282	14406	494665
283	14475	495220
284	14530	495308
285	14583	495339
286	14634	495283
287	14684	495198
288	14734	495116
289	14782	494972
290	14833	494915
291	14882	494802
292	14917	494210
293	14969	494189
294	15018	494077
295	15067	493985
296	15117	493904
297	15139	492881
298	15189	492821
299	15240	492781
300	15290	492687
301	15338	492573
302	15388	492474
303	15413	491620
304	15463	491540
305	15515	491528
306	15573	491695
307	15592	490649
308	15645	490676
309	15700	490765
310	15758	490941
311	15806	490825
312	15858	490806
313	15895	490320
314	15930	489787
315	15980	489718
316	16011	489087
317	16061	489015
318	16110	488923
319	16158	488806
320	16206	488678
321	16256	488612
322	16307	488580
323	16355	488453
324	16406	488399
325	16473	488838
326	16516	488574
327	16569	488603
328	16618	488506
329	16668	488431
330	16719	488387
331	16767	488272
332	16817	488214
333	16850	487665
334	16899	487554
335	16947	487434
336	16995	487307
337	17048	487342
338	17098	487282
339	17146	487175
340	17196	487111
341	17246	487049
342	17297	486994
343	17332	486530
344	17367	486036
345	17416	485945
346	17465	485872
347	17500	485380
348	17550	485321
349	17598	485221
350	17648	485147
351	17698	485092
352	17747	485006
353	17796	484942
354	17822	484226
355	17875	484242
356	17930	484318
357	17989	484509
358	18044	484582
359	18106	484860
360	18157	484811
361	18207	484771
362	18255	484658
363	18306	484612
364	18354	484504
365	18406	484500
366	18470	484815
367	18525	484897
368	18577	484884
369	18627	484807
370	18675	484712
371	18725	484636
372	18777	484642
373	18826	484543
374	18874	484439
375	18923	484352
376	18970	484237
377	19020	484176
378	19072	484162
379	19127	484239
380	19175	484111
381	19224	484028
382	19274	483966
383	19323	483893
384	19372	483809
385	19422	483739
386	19470	483647
387	19519	483548
388	19568	483467
389	19617	483402
390	19665	483299
391	19718	483294
392	19766	483186
393	19817	483172
394	19865	483048
395	19916	483026
396	19966	482960
397	20016	482914
398	20066	482844
399	20115	482765
400	20142	482171
401	20192	482098
402	20238	481966
403	20289	481914
404	20336	481794
405	20393	481899
406	20462	482305
407	20526	482562
408	20596	482975
409	20657	483174
410	20704	483063
411	20753	482975
412	20802	482894
413	20852	482823
414	20887	482415
415	20913	481819
416	20963	481763
417	21013	481690
418	21064	481659
419	21117	481681
420	21176	481835
421	21225	481754
422	21276	481712
423	21297	480994
424	21347	480943
425	21395	480844
426	21444	480773
427	21494	480712
428	21544	480664
429	21591	480540
430	21639	480434
431	21691	480434
432	21739	480325
433	21787	480233
434	21837	480165
435	21890	480183
436	21937	480061
437	21984	479952
438	22033	479873
439	22114	480478
440	22353	484539
441	22433	485111
442	22489	485179
443	22542	485178
444	22595	485161
445	22615	484462
446	22665	484394
447	22714	484298
448	22763	484208
449	22811	484115
450	22862	484061
451	22884	483402
452	22906	482760
453	22940	482356
454	22989	482277
455	23039	482219
456	23093	482235
457	23150	482319
458	23206	482373
459	23266	482524
460	23329	482741
461	23366	482398
